Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Гайденко,Павло,Іванович,Чоловік,1938-01-29 00:00:00,Намотувальник,хутір Арсен,"набережна Чумаченко, 976, хутір Мілена, 31199",+38 151 756 51 85,danylozatovkaniuk@aleksiichuk.info
Артимович,Павло,Дмитрович,Чоловік,1958-09-28 00:00:00,Філолог,місто Данна,"майдан Оробець, 4, хутір Антон, 36216",+38 100 862-57-44,klymentperebyinis@meta.ua
Щорс,Лесь,Володимирович,Чоловік,1957-06-04 00:00:00,Паблік рилейшнз,місто Богдан,"Перебийніс узвіз, 1, село Олександр, 43590",+38 022 498 82 12,qiashchenko@gmail.com
Мірошниченко,Еріка,Артемівна,Жінка,1939-06-27 00:00:00,Філолог,село Аркадій,"бульвар Абрамчук, 147, село Охрім, 32376",008 77 23,olʹhakovaliuk@korbut.ua
Конопля,Юстина,Максимівна,Жінка,2005-08-16 00:00:00,Біолог,місто Сніжана,"Стець узвіз, 2, селище Лукʼян, 92214",+38 (511) 144-02-17,valentynaieroshenko@i.ua
Єфименко,Богдан,Сергійович,Чоловік,1949-10-23 00:00:00,Клоун,селище Віра,"Лавренко узвіз, 8, селище Юстина, 48578",824-05-67,abramchuklarysa@vashchenko-zakharchenko.org
Ващенко,Амвросій,Григорович,Чоловік,1981-03-26 00:00:00,Астронавт,село Теодор,"Чуприна узвіз, 66, хутір Миколай, 106177",+38 250 433-80-27,babychielysei@mamchur.net
Абраменко,Пармен,Георгійович,Чоловік,1954-07-23 00:00:00,Бухгалтер,місто Леопольд,"Бабиченко узвіз, 878, село Одарка, 104324",+38 353 710-93-34,mykhailyna47@yermolenko.com
Заруба,Анастасія,Петрівна,Жінка,1974-07-04 00:00:00,Льотчик,селище Азар,"набережна Оліфіренко, 7, місто Азар, 88977",+38 228 028 39 85,yvashchuk@babiichuk.net
Зубко,Аврелій,Вікторович,Чоловік,1964-06-22 00:00:00,Слідчий,село Ярина,"Скиба узвіз, 4, місто Богуслав, 31484",+38 (808) 722-58-80,khudobʼiakvolodymyra@i.ua
Дрозденко,Сергій,Петрович,Чоловік,2003-09-03 00:00:00,Композитор,хутір Богуслав,"Дейсун узвіз, 1, хутір Любов, 12544",233 41 94,havrylozaporozhetsʹ@i.ua
Гоголь,Мілена,Вадимівна,Жінка,2005-04-19 00:00:00,Пекар,село Олександр,"Жаліло узвіз, 767, місто Дмитро, 15337",+38 426 875-70-50,erikazubko@savenko.ua
Щербак,Феофан,Вадимович,Чоловік,1985-07-11 00:00:00,Гірничий інженер,село Онисим,"Шведченко узвіз, 41, хутір Валерій, 32560",030 809 54 25,alla90@email.ua
Василенко,Мілена,Вікторівна,Жінка,1983-06-05 00:00:00,Археолог,хутір Леон,"набережна Іващенко, 2, селище Роксолана, 02379",+38 848 293 38 39,xvernyhora@ukr.net
Затула,Ігнат,Ільїч,Чоловік,1972-06-04 00:00:00,Стоматолог,місто Владислав,"вулиця Ковпак, 38, хутір Богодар, 35599",+38 799 510 40 24,iaremaihnat@tsiupa.org
Андрієвич,Ірина,Вадимівна,Жінка,2002-07-30 00:00:00,Живописець,селище Онисим,"Лазаренко узвіз, 83, село Давид, 08410",+38 005 870-23-68,vovkmilena@gmail.com
Гавриленко,Ярина,Сергіївна,Жінка,2004-02-18 00:00:00,Мінералог,хутір Зорян,"Дубина узвіз, 395, селище Світлана, 78348",021 467 95 57,vakarchukviktoriia@danʹkiv-romanenko.org
Бабич,Валентин,Олегович,Чоловік,1954-09-18 00:00:00,Археолог,село Данило,"Бгиденко узвіз, 198, хутір Ярослава, 54260",+38 454 574 01 35,sdemʼianenko@danylʹchuk.org
Атаманчук,Марʼяна,Артемівна,Жінка,1995-03-03 00:00:00,Художник,хутір Марта,"проспект Закусило, 30, село Олекса, 18492",+38 377 382-23-91,iiurchuk@bezborodʹko-konoplenko.info
Матяш,Віктор,Данилович,Чоловік,1986-05-28 00:00:00,Ботанік,місто Орина,"Єресько узвіз, 1, хутір Тарас, 63361",+38 534 643-72-02,halyna97@stetsʹ-drobʼiazko.com
Скиба,Геннадій,Іванович,Чоловік,2001-01-08 00:00:00,Графік,селище Едита,"Іваничук узвіз, 5, село Омелян, 73775",077 839-63-96,rnalyvaiko@havryshkevych-babko.com
Ґоляш,Прохір,Сергійович,Чоловік,1980-05-11 00:00:00,Промисловець,селище Михайло,"Чумаченко узвіз, 739, селище Алла, 85483",244-80-55,ychaban@havryshkevych.net
Журавель,Іван,Ільїч,Чоловік,1949-01-04 00:00:00,Кінорежисер,селище Василь,"провулок Воблий, 18, село Ярослава, 77236",+38 731 273-57-65,iefymenkoolesʹ@tsiupa.укр
Мазепа,Ада,Володимирівна,Жінка,1978-04-15 00:00:00,Футболіст,село Ілля,"набережна Шелест, 570, село Семен, 54466",+38 916 576-50-07,piaremkiv@malyk-zaichenko.org
Акуленко,Єфрем,Ільїч,Чоловік,1982-09-04 00:00:00,Провізор,місто Христина,"Цимбалюк узвіз, 111, селище Світлана, 62344",892-75-47,dtsarenko@matiash.укр
Даньків,Дмитро,Володимирович,Чоловік,1999-11-08 00:00:00,Штукатур,місто Мирон,"Захаренко узвіз, 3, село Михайлина, 16717",830-27-71,liliia76@hrechanyk-tsybulenko.com
Бабій,Онисим,Назарович,Чоловік,1944-12-15 00:00:00,Музичний редактор,село Орися,"бульвар Дутка, 422, селище Демид, 52047",095 697 36 78,orkhyp16@i.ua
Лукаш,Леопольд,Георгійович,Чоловік,1957-12-23 00:00:00,Конструктор,селище Ярослава,"Негода узвіз, 10, село Тереза, 21278",+38 773 793 95 82,pstetsʹ@tovstolis.com
Баштан,Розалія,Сергіївна,Жінка,2000-02-22 00:00:00,Модельєр,хутір Святослава,"Корпанюк узвіз, 855, село Адам, 07332",028 306 10 48,ostap64@hresʹ.org
Парасюк,Розалія,Вадимівна,Жінка,1939-03-10 00:00:00,Будник,село Ростислав,"бульвар Ільченко, 838, хутір Хома, 41136",+38 188 855-59-83,veniiamynvyshyvanyi@asaula-kopytko.info
Чубай,Ганна,Вадимівна,Жінка,1959-11-16 00:00:00,Слідчий,село Михайло,"провулок Вовк, 86, хутір Ганна, 48654",350 90 27,pavlosomko@gov.ua
Шаблій,Анастасія,Артемівна,Жінка,1986-01-14 00:00:00,Вчитель,місто Ліза,"Негода узвіз, 8, хутір Ада, 44580",+38 143 380-10-30,kamillaonishchuk@gov.ua
Ткаченко,Пармен,Вікторович,Чоловік,1998-09-21 00:00:00,Дерун,селище Костянтин,"Наливайко узвіз, 6, хутір Вікторія, 01262",+38 (155) 709-67-32,trokhymvasylevych@yevtushok-onyshchenko.com
Сірко,Йосип,Георгійович,Чоловік,1969-01-11 00:00:00,Мікробіолог,місто Ярема,"Гоголь узвіз, 0, місто Артем, 84665",+38 (556) 658-66-15,rvanchenko@skorobohatʹko.укр
Корсун,Варвара,Вікторівна,Жінка,1950-10-29 00:00:00,Ветеринар,селище Демʼян,"проспект Сич, 450, хутір Ірина, 55613",+38 430 811-70-53,iefrem50@email.ua
Верменич,Аніта,Юріївна,Жінка,1964-03-29 00:00:00,Намотувальник,селище Борислав,"Христенко узвіз, 99, селище Микита, 45555",771 71 95,iusyk@dziuba.ua
Онуфрієнко,Левко,Костянтинович,Чоловік,1958-07-23 00:00:00,Золотар,місто Демʼян,"майдан Лазаренко, 11, село Олександр, 76446",+38 844 351-47-04,frantscharnysh@ukr.net
Оніщук,Онисим,Анатолійович,Чоловік,1966-08-16 00:00:00,Льотчик,місто Віолетта,"Мірошниченко узвіз, 3, село Зиновій, 108512",+38 893 086-83-36,akarpa@i.ua
Удовиченко,Тетяна,Дмитрівна,Жінка,1980-12-22 00:00:00,Епідеміолог,хутір Василь,"проспект Скирда, 4, селище Стефан, 24804",887 92 19,shyianhennadii@bezborodʹky.org
Конопля,Арсен,Данилович,Чоловік,1946-08-28 00:00:00,Кінокритик,село Олесь,"Батіг узвіз, 2, селище Аарон, 25140",+38 013 398-83-92,okseniiaivanenko@gov.ua
Баран,Михайлина,Михайлівна,Жінка,1964-12-29 00:00:00,Патологоанатом,хутір Лукʼян,"майдан Карпа, 948, село Семен, 25341",055 586-66-43,kolisnychenkoalina@pʼiatachenko.укр
Шведченко,Нестор,Олександрович,Чоловік,1998-02-13 00:00:00,Ювелір,місто Богодар,"вулиця Дрозд, 80, село Остап, 62724",+38 661 332-15-72,avramchukarkadii@gmail.com
Давимука,Трохим,Георгійович,Чоловік,1989-01-02 00:00:00,Редактор,селище Аліна,"Артимишин узвіз, 5, селище Дмитро, 72540",072 126-98-53,prokhirzatovkaniuk@gmail.com
Худобʼяк,Едуард,Петрович,Чоловік,2007-07-19 00:00:00,Науковець,місто Костянтин,"бульвар Перебийніс, 711, хутір Ірина, 96011",+38 755 229 71 05,pushkarfedir@meta.ua
Чумаченко,Лесь,Ільїч,Чоловік,2007-02-10 00:00:00,Хореограф,місто Зорян,"Єщенко узвіз, 64, місто Дан, 36779",+38 (384) 775-28-01,okhrimenkoopanas@ukr.net
Габелко,Пріска,Назарівна,Жінка,2004-06-07 00:00:00,Мистецтвознавець,місто Валентина,"Гайда узвіз, 796, селище Лариса, 104217",116-41-64,illia57@babii-yemelʹianenko.org
Приймак,Антон,Георгійович,Чоловік,1970-04-20 00:00:00,Музикант,хутір Степан,"Журба узвіз, 235, місто Варфоломій, 99946",461 88 10,iaroslava56@shvedchenko.com
Колодуб,Венедикт,Анатолійович,Чоловік,1951-02-16 00:00:00,Водій,селище Варфоломій,"Лубенець узвіз, 69, селище Клавдія, 99033",033 876 08 02,korzhroksolana@gov.ua
Міщенко,Ярема,Сергійович,Чоловік,1939-11-30 00:00:00,Кушнір,селище Варфоломій,"провулок Саєнко, 8, хутір Мартин, 43544",050 063 65 67,lpavlyk@barannyk.net
Алексійчук,Назар,Анатолійович,Чоловік,1976-09-27 00:00:00,Різноробочий,місто Ігор,"провулок Андрейко, 1, селище Оксана, 87123",+38 512 026 40 88,derkachkyrylo@huzenko.укр
Малишко,Данна,Вадимівна,Жінка,2006-02-20 00:00:00,Ді-джей,місто Сергій,"Цюпа узвіз, 9, село Стефан, 103974",+38 398 029 68 41,frantsbabʼiuk@velychko.укр
Гавриш,Сніжана,Сергіївна,Жінка,1997-10-08 00:00:00,Прокурор,селище Азар,"провулок Матяш, 0, місто Едуард, 02885",+38 (168) 755-80-90,iaroslava04@lesyk-shvachka.com
Червоненко,Мирон,Олегович,Чоловік,1971-03-20 00:00:00,Нотаріус,хутір Дан,"Бабко узвіз, 301, село Омелян, 19932",+38 (309) 255-93-11,tkachlarysa@lemeshko-yemetsʹ.net
Олійник,Венедикт,Олександрович,Чоловік,1973-01-31 00:00:00,Бібліограф,селище Хома,"Сомко узвіз, 127, хутір Марія, 91408",+38 136 973-66-84,hryhorii41@kyrylenko-zasiadʹko.org
Бебешко,Назар,Костянтинович,Чоловік,1970-04-07 00:00:00,Різноробочий,місто Іван,"Тягнибок узвіз, 7, селище Лесь, 12645",198-63-02,simashkevychostap@zhurba.укр
Свистун,Леонтій,Володимирович,Чоловік,2005-07-27 00:00:00,Сантехнік,село Богданна,"Сагаль узвіз, 54, село Руслан, 108639",+38 206 862-79-02,stefanzasukha@holyk-parasiuk.укр
Романець,Ростислав,Дмитрович,Чоловік,1968-06-25 00:00:00,Реабілітолог,селище Лілія,"набережна Власенко, 004, хутір Орина, 67478",+38 207 512-00-93,bkabaliuk@zaruba.укр
Ірванець,Зорян,Володимирович,Чоловік,1963-06-13 00:00:00,Правник,місто Галина,"Чуприна узвіз, 66, селище Вадим, 75868",018 655-83-39,fhaidabura@gov.ua
Корсун,Емілія,Олегівна,Жінка,1986-03-29 00:00:00,Редактор,місто Роксолана,"Сагаль узвіз, 19, хутір Надія, 23417",+38 636 883-72-98,levkomasliak@email.ua
Михалюк,Юстим,Петрович,Чоловік,1976-08-20 00:00:00,Льотчик,селище Михайло,"майдан Товстоліс, 4, селище Леон, 67746",023 580 67 80,ihnathabelko@tereshchuk-hresʹ.info
Вертипорох,Орхип,Максимович,Чоловік,1954-10-17 00:00:00,Випробувач,місто Світлана,"майдан Башполченко, 308, селище Тимофій, 61604",078 290-89-12,leontiiaronetsʹ@nosachenko.укр
Дзюба,Стефан,Олександрович,Чоловік,1962-02-20 00:00:00,Електромонтер,хутір Роксолана,"Голик узвіз, 9, місто Теодор, 41096",045 169-88-56,davyd32@email.ua
Джус,Ігор,Петрович,Чоловік,1996-11-03 00:00:00,Кур'єр,селище Амалія,"провулок Калениченко, 91, хутір Віталій, 06098",070 965 70 87,sirobabaheorhii@vlasenko.org
Демиденко,Євген,Григорович,Чоловік,1983-07-28 00:00:00,Реставратор,село Ада,"провулок Гаєвський, 3, хутір Ростислав, 79698",080 047 55 28,yverkhola@ukr.net
Верес,Олег,Михайлович,Чоловік,1948-12-06 00:00:00,Бізнесмен,місто Демʼян,"Масляк узвіз, 44, місто Мілена, 64905",+38 (327) 451-16-70,orysia52@gov.ua
Павлик,Борис,Артемович,Чоловік,1979-08-14 00:00:00,Фізик,село Феофан,"Архимович узвіз, 87, місто Омелян, 54420",+38 456 286-33-72,vʼiacheslavsomko@konoplia-reva.org
Верхола,Еріка,Іванівна,Жінка,1973-07-01 00:00:00,Перекладач,село Оксенія,"Колодуб узвіз, 66, селище Андрій, 24947",209 59 00,ddakhno@riaboshapka-yukhymenko.net
Москаль,Ігор,Данилович,Чоловік,1993-10-08 00:00:00,Антрополог,хутір Венедикт,"Михалюк узвіз, 0, хутір Адам, 96384",+38 666 527-32-88,symon81@ukr.net
Пелех,Феофан,Юрійович,Чоловік,1968-10-29 00:00:00,Візажист,хутір Анастасія,"Полтавець узвіз, 66, місто Станіслав, 98759",+38 093 981 53 69,haivoronsʹkyidmytro@deineko-eibozhenko.com
Фаренюк,Соломія,Олександрівна,Жінка,1992-03-16 00:00:00,Євнух,село Оксенія,"Гаврилишин узвіз, 09, селище Камілла, 79106",033 008-07-11,xfomenko@ukr.net
Бабак,Орхип,Олександрович,Чоловік,1948-02-02 00:00:00,Кур'єр,місто Ігнат,"Жайворон узвіз, 494, селище Амалія, 89716",683 44 04,ievdokymenkozorian@meta.ua
Затула,Олег,Олегович,Чоловік,1987-03-17 00:00:00,Агроном,селище Марʼяна,"Наливайко узвіз, 276, місто Ярина, 66603",+38 882 311 88 83,shchyrytsiademyd@ishchak.info
Ґерета,Ольга,Георгіївна,Жінка,1945-07-07 00:00:00,Конструктор,селище Одарка,"Кабаненко узвіз, 90, хутір Зорян, 19364",+38 570 639-02-90,taras85@gov.ua
Стус,Олег,Сергійович,Чоловік,1984-06-28 00:00:00,Стиліст,хутір Леон,"Кащенко узвіз, 829, село Павло, 03208",+38 (409) 726-97-05,volodymyrvyshyvanyi@rak-yerchenko.укр
Сомко,Лесь,Михайлович,Чоловік,1980-11-26 00:00:00,Кінорежисер,місто Мартин,"проспект Твердохліб, 63, селище Гордій, 08904",061 497-79-56,iryna76@i.ua
Саєнко,Ольга,Петрівна,Жінка,1958-10-14 00:00:00,Письменник,хутір Пантелеймон,"Фастенко узвіз, 44, селище Данна, 99237",701-41-91,mdubenko@email.ua
Цісик,Вʼячеслав,Петрович,Чоловік,1957-10-08 00:00:00,Дантист,хутір Онисим,"вулиця Хорішко, 6, селище Ростислав, 47208",+38 002 007-46-51,sokhrymovych@meta.ua
Каденюк,Яків,Володимирович,Чоловік,1968-04-20 00:00:00,Детектив,селище Галина,"Оберемко узвіз, 650, хутір Роман, 31269",034 853 21 66,avhustyn27@atroshchenko-balaban.ua
Колесниченко,Богуслава,Вадимівна,Жінка,2007-12-27 00:00:00,Електромонтажник,місто Богодар,"бульвар Забашта, 41, місто Геннадій, 95414",773 94 79,demʼian88@ukr.net
Фесенко,Леонід,Сергійович,Чоловік,1964-05-13 00:00:00,Візажист,місто Вʼячеслав,"Чуйко узвіз, 39, село Юстина, 23294",094 636 89 09,kamilla00@gov.ua
Сімашкевич,Георгій,Артемович,Чоловік,1958-08-09 00:00:00,Модельєр,місто Костянтин,"Пелех узвіз, 69, місто Лесь, 25184",912-37-66,izakusylo@pryimak.org
Ковалюк,Людмила,Петрівна,Жінка,1994-01-10 00:00:00,Кур'єр,хутір Прохір,"Ґерета узвіз, 55, селище Леон, 108978",004 838 48 14,favdieienko@yeremenko-zaruba.info
Юрчук,Данна,Іванівна,Жінка,1973-01-02 00:00:00,Електромонтажник,селище Юстим,"майдан Чуприна, 0, село Аврелій, 39808",+38 477 276 76 52,tesliaanzhela@email.ua
Лукаш,Олена,Костянтинівна,Жінка,2001-09-17 00:00:00,Економіст,селище Софія,"проспект Шахрай, 617, селище Лукʼян, 106399",+38 296 678-11-03,demʼianiarosh@vitruk-bevzenko.ua
Чарниш,Ігнат,Анатолійович,Чоловік,1959-04-25 00:00:00,Інженер,хутір Яків,"Єфименко узвіз, 721, селище Дарина, 59812",+38 206 021 65 01,kamilla36@ukr.net
Бабʼюк,Мирослав,Георгійович,Чоловік,1991-05-21 00:00:00,Складальник,хутір Василь,"вулиця Масоха, 1, селище Людмила, 103762",588-16-86,lesʹkovaliuk@i.ua
Ґереґа,Варфоломій,Вадимович,Чоловік,1997-03-22 00:00:00,Гінеколог,селище Веніямин,"бульвар Данькевич, 99, селище Варфоломій, 03915",+38 406 305 77 11,viraiakymchuk@babak-vasylevych.net
Гриценко,Амвросій,Максимович,Чоловік,1955-07-28 00:00:00,Будник,село Олена,"Верменич узвіз, 145, місто Алевтин, 71106",717-49-39,paliidanna@perepelytsia.org
Тарасенко,Ігнат,Олегович,Чоловік,1993-05-25 00:00:00,Актор,місто Варвара,"проспект Зінкевич, 534, хутір Августин, 27554",+38 482 133-61-50,veniiamynbakumenko@email.ua
Давиденко,Святослава,Григорівна,Жінка,1991-12-07 00:00:00,Кінокритик,місто Олена,"набережна Ткаченко, 58, село Соломія, 75592",275 05 03,fdemydenko@suprunenko.укр
Дашенко,Георгій,Михайлович,Чоловік,1955-09-22 00:00:00,Кінорежисер,село Володимира,"Удовиченко узвіз, 1, село Венедикт, 57210",983 81 20,abrahamovsʹkyiroksolana@davydenko-galagan.info
Дерегус,Мирон,Максимович,Чоловік,1944-06-14 00:00:00,Кінорежисер,село Франц,"майдан Ніколюк, 416, хутір Йосип, 105902",+38 637 896-99-53,oleksandrhaidabura@ukr.net
Єрьоменко,Альбіна,Максимівна,Жінка,1954-09-12 00:00:00,Ювелір,село Єлисей,"вулиця Забара, 04, місто Пилип, 63297",044 892 83 64,dsvyrydenko@i.ua
Вахній,Григорій,Вікторович,Чоловік,1981-03-28 00:00:00,Сценарист,село Микита,"вулиця Наливайко, 102, місто Володимира, 67330",083 762-60-30,panteleimon85@shynkarenko.org
Артим,Варвара,Анатоліївна,Жінка,1999-12-12 00:00:00,Фермер,селище Олесь,"Шутько узвіз, 2, місто Ірина, 41851",590-77-91,marko33@ukr.net
Килимник,Олег,Олександрович,Чоловік,1950-03-23 00:00:00,Сценарист,місто Ганна,"вулиця Пилипенко, 1, хутір Гордій, 04997",070 166 59 04,chumaksviatoslava@babak-onyshchenko.ua
Ковпак,Ілля,Артемович,Чоловік,1944-10-21 00:00:00,Музикознавець,хутір Максим,"набережна Супруненко, 693, місто Кирило, 29429",+38 405 927-85-21,iustynatykhyi@chernenko.net
Романець,Оксана,Юріївна,Жінка,1981-02-21 00:00:00,Електромонтер,село Роксолана,"бульвар Пелех, 196, місто Ірина, 64261",609 54 79,mykytanazarenko@hodunok-ivasiuk.info
Ґерета,Мілена,Костянтинівна,Жінка,1969-01-09 00:00:00,Няня,хутір Орхип,"Іванченко узвіз, 5, селище Аврелій, 92924",+38 371 756 63 81,alʹbina54@chumachenko-yushchenko.ua
Романець,Теодор,Костянтинович,Чоловік,1971-02-15 00:00:00,Няня,селище Єва,"вулиця Левченко, 71, хутір Єва, 42670",+38 387 954-49-08,davyd54@gmail.com
Слюсар,Трохим,Артемович,Чоловік,2001-03-07 00:00:00,Водій,хутір Дмитро,"провулок Гресь, 690, місто Мирослав, 93380",435 81 09,ieresʹkodavyd@isaievych.укр
Алексійчук,Орест,Назарович,Чоловік,1943-01-10 00:00:00,Кур'єр,село Ігнат,"Тесленко узвіз, 9, село Юстина, 61103",792-24-20,bohuslav97@khmara.org
Андрієвич,Остап,Іванович,Чоловік,1978-03-19 00:00:00,Астрофізик,село Омелян,"Тягнибок узвіз, 849, село Миколай, 03691",082 875-52-82,iustynaatamanchuk@bandera.info
Адамчук,Климент,Ільїч,Чоловік,2000-05-28 00:00:00,М'ясник,хутір Леонід,"набережна Гузенко, 193, селище Ольга, 64632",083-30-44,pvdovenko@artiushenko-valenko.укр
Забара,Онисим,Данилович,Чоловік,1968-05-31 00:00:00,Секретар,місто Віктор,"провулок Безбородьки, 28, місто Варфоломій, 19250",+38 703 821-70-37,stelʹmakharkadii@ostapchuk.org
Ребрик,Наталія,Григорівна,Жінка,1941-09-20 00:00:00,Каскадер,хутір Софія,"вулиця Дахно, 933, селище Ростислав, 21483",+38 009 196-87-08,ldanylʹchuk@pylypenko.net
Заруба,Єлисей,Георгійович,Чоловік,2000-11-09 00:00:00,Кінорежисер,селище Демид,"майдан Прокопович, 9, селище Вʼячеслав, 55148",038 067-80-63,adamnosenko@meta.ua
Заїка,Валерій,Вікторович,Чоловік,1967-01-17 00:00:00,Льотчик,хутір Анжела,"Ковпак узвіз, 0, село Анастасія, 82794",+38 (776) 675-57-41,gstus@artemenko.net
Шевченко,Златослава,Вікторівна,Жінка,1999-07-04 00:00:00,Головний меркшейдер,село Адам,"Гречаник узвіз, 779, хутір Григорій, 96815",+38 995 360-28-43,iosypbezborodʹky@zhuchenko-bezditko.ua
Вишняк,Альбіна,Михайлівна,Жінка,1963-08-27 00:00:00,Скульптор,село Єфрем,"бульвар Ляшко, 31, хутір Андрій, 41459",+38 904 262-15-99,andrii77@aleksiichuk-sliusar.info
Демиденко,Соломія,Ільївна,Жінка,1960-06-06 00:00:00,Фотограф,місто Зорян,"бульвар Бандура, 6, село Семен, 22855",861 61 12,vasylechkosvitlana@hoholʹ-yanovsʹkyi-deineka.net
Пустовіт,Пилип,Михайлович,Чоловік,1986-02-10 00:00:00,Державний службовець,село Богуслав,"Яценко узвіз, 3, селище Ірина, 73189",076 671 44 92,holoborodʹkoveniiamyn@shvaika.ua
Пелех,Єлисавета,Даниліївна,Жінка,1947-07-13 00:00:00,Дипломат,селище Юстина,"вулиця Сімашкевич, 11, хутір Веніямин, 28296",080 998 64 71,konopliateodor@gmail.com
Яценюк,Григорій,Іванович,Чоловік,2004-07-31 00:00:00,Кушнір,селище Ростислав,"Гаєвський узвіз, 719, місто Сергій, 03158",371-57-05,iorobetsʹ@zhalilo.org
Сагаль,Борис,Георгійович,Чоловік,1970-11-19 00:00:00,Складальник,селище Панас,"проспект Захарченко, 604, селище Олег, 105881",+38 449 730-71-52,mykhailyna19@i.ua
Зубко,Демид,Петрович,Чоловік,1989-01-16 00:00:00,Антрополог,місто Захар,"Акименко узвіз, 582, село Ростислав, 82033",578-19-83,demʼian09@email.ua
Жарко,Віра,Олександрівна,Жінка,1976-08-02 00:00:00,Мікробіолог,селище Станіслав,"Фесенко узвіз, 411, селище Марта, 84620",096 715 24 83,ishchors@haidai.ua
Ващук,Одарка,Вадимівна,Жінка,1953-08-12 00:00:00,Агроном,місто Франц,"вулиця Лукаш, 803, село Амвросій, 83290",127 24 38,tshvachka@i.ua
Андрійчук,Григорій,Вікторович,Чоловік,1967-05-05 00:00:00,Художник,село Альбіна,"Стельмах узвіз, 153, хутір Сергій, 105411",+38 (024) 900-62-64,okseniia16@meta.ua
Башполченко,Аніта,Іванівна,Жінка,1993-04-03 00:00:00,Краєзнавець,селище Климент,"бульвар Опанасенко, 6, селище Болеслав, 47674",091 369 32 07,oleh45@huzii.info
Кащенко,Гордій,Олександрович,Чоловік,1951-05-01 00:00:00,Перекладач,місто Віктор,"Вертипорох узвіз, 2, селище Клавдія, 103660",579-50-09,myron72@gmail.com
Артеменко,Ярослав,Костянтинович,Чоловік,1979-08-04 00:00:00,Кур'єр,хутір Орест,"Чарниш узвіз, 464, селище Мирослав, 107552",762 07 02,adam32@derehus-avramenko.com
Вітрук,Дан,Олександрович,Чоловік,1963-01-13 00:00:00,Юрист,селище Григорій,"вулиця Гайдай, 39, місто Амвросій, 59733",+38 306 519-19-41,loliinyk@email.ua
Короленко,Маруся,Ільївна,Жінка,1980-01-25 00:00:00,Головний меркшейдер,село Наталія,"проспект Рубан, 04, місто Лесь, 21804",+38 414 641-23-48,xvasylevych@gmail.com
Юрчишин,Маруся,Іванівна,Жінка,1963-05-01 00:00:00,Електромонтер,село Алла,"провулок Асаула, 740, село Альбіна, 92612",034 42 05,shtokaloleopolʹd@i.ua
Журба,Альберт,Назарович,Чоловік,1949-11-05 00:00:00,Державний службовець,село Ольга,"Ващук узвіз, 58, село Гліб, 66223",+38 632 743-21-28,kostiantynpavlenko@karmaliuk.укр
Онуфрієнко,Анастасія,Дмитрівна,Жінка,1994-07-07 00:00:00,Медик,хутір Азар,"бульвар Лемешко, 01, селище Остап, 53274",418-74-59,xbaran@danʹko.ua
Дрозденко,Леон,Ільїч,Чоловік,2001-03-05 00:00:00,Диригент,селище Пріска,"Щербань узвіз, 842, селище Анастасія, 78754",058 240 60 30,xshmorhun@nesterenko-babiichuk.укр
Вишняк,Азар,Артемович,Чоловік,1954-12-28 00:00:00,Піаніст,село Зорян,"Матвієнко узвіз, 4, хутір Сніжана, 21893",+38 (552) 559-42-89,fareniukhlib@yakovenko.net
Яковенко,Аркадій,Іванович,Чоловік,1960-09-21 00:00:00,Публіцист,місто Ігор,"Чумак узвіз, 7, місто Богуслав, 55226",+38 572 954-65-35,czinkevych@gov.ua
Дерегус,Віолетта,Олександрівна,Жінка,2003-12-14 00:00:00,Географ,хутір Теодор,"проспект Андрусенко, 9, селище Маруся, 22799",+38 179 079-74-10,demʼianchukvalentyna@email.ua
Корсун,Кирило,Ільїч,Чоловік,2002-02-08 00:00:00,Адвокат,село Михайлина,"Андрієнко узвіз, 369, село Лесь, 91926",+38 825 467 73 20,pylypkyrylenko@rebryk-abramchuk.com
Артеменко,Богодар,Назарович,Чоловік,1941-02-12 00:00:00,Композитор,селище Святослав,"бульвар Ванченко, 07, селище Віра, 89105",+38 119 183-91-01,varvara20@derhach-chmilʹ.info
Панчук,Кирило,Анатолійович,Чоловік,1973-04-12 00:00:00,Складальник,селище Мирон,"майдан Сиротенко, 23, село Костянтин, 14304",752-48-64,korsunvioletta@shcherbak.org
Стельмах,Мартин,Іванович,Чоловік,2005-12-29 00:00:00,Історик,хутір Валентин,"Абрагамовський узвіз, 408, місто Ада, 82845",083 657 87 50,roksolanarubetsʹ@kalʹchenko.com
Данько,Назар,Григорович,Чоловік,1990-07-10 00:00:00,Кушнір,селище Ростислав,"бульвар Єсипенко, 985, хутір Аврелій, 17378",+38 677 346 18 28,dmytro13@vernyhora.net
Малик,Христина,Максимівна,Жінка,1942-04-17 00:00:00,Акушер,хутір Лілія,"вулиця Цушко, 764, селище Сергій, 82146",+38 (645) 702-69-08,bohdandeineko@email.ua
Рудько,Ярослава,Вадимівна,Жінка,1972-02-14 00:00:00,Стропальник,хутір Варфоломій,"Дзюба узвіз, 0, селище Анжела, 76593",097 267 05 85,raverchenko@batiuk.info
Бандура,Станіслав,Назарович,Чоловік,1952-07-16 00:00:00,Реабілітолог,селище Варвара,"майдан Лубенець, 95, селище Зорян, 106295",+38 724 048-33-41,semenderhach@vakulenko-mykhailychenko.info
Удовиченко,Лукʼян,Анатолійович,Чоловік,1995-08-13 00:00:00,Машиніст,селище Юстина,"провулок Дуплій, 2, село Одарка, 21391",086 054-50-82,ielyseibevz@gov.ua
